a,b,c,abc
563,155,2,174530
512,735,4,1505280
120,754,7,633360
149,871,3,389337
244,527,8,1028704
945,694,5,3279150
266,655,10,1742300
882,686,11,6655572
955,297,11,3119985
389,773,4,1202788
804,832,6,4013568
841,285,1,239685
538,237,7,892542
212,428,3,272208
228,524,4,477888
199,145,10,288550
394,651,9,2308446
477,623,4,1188684
729,990,10,7217100
422,631,7,1863974
335,368,6,739680
477,755,5,1800675
174,398,10,692520
995,332,10,3303400
258,809,3,626166
600,239,2,286800
856,161,6,826896
199,632,11,1383448
460,372,9,1540080
852,760,5,3237600
619,352,2,435776
428,459,4,785808
584,713,3,1249176
540,302,9,1467720
276,934,7,1804488
434,992,11,4735808
486,902,2,876744
151,647,4,390788
593,180,4,426960
133,867,9,1037799
792,710,1,562320
316,929,2,587128
325,511,2,332150
600,618,3,1112400
328,559,9,1650168
949,221,4,838916
225,220,8,396000
761,693,8,4218984
442,835,1,369070
299,718,6,1288092
118,755,7,623630
326,917,7,2092594
688,186,4,511872
981,413,9,3646377
759,760,9,5191560
205,984,10,2017200
716,208,6,893568
526,572,6,1805232
471,926,4,1744584
392,170,9,599760
441,853,1,376173
266,640,1,170240
607,177,4,429756
995,216,7,1504440
557,692,5,1927220
478,954,11,5016132
561,134,9,676566
247,174,1,42978
283,478,3,405822
801,321,2,514242
789,790,3,1869930
540,284,9,1380240
953,608,1,579424
241,451,10,1086910
416,894,5,1859520
271,315,2,170730
677,390,5,1320150
117,676,7,553644
247,582,2,287508
421,821,3,1036923
747,977,8,5838552
981,901,2,1767762
821,263,9,1943307
937,602,11,6204814
707,653,5,2308355
745,523,6,2337810
292,621,4,725328
588,148,5,435120
296,747,5,1105560
152,112,4,68096
765,621,10,4750650
122,212,2,51728
607,512,8,2486272
609,411,5,1251495
960,104,7,698880
146,734,10,1071640
982,342,6,2015064
289,708,11,2250732
304,896,5,1361920
321,847,7,1903209
769,791,1,608279
473,920,2,870320
820,366,11,3301320
621,194,11,1325214
369,628,6,1390392
375,245,8,735000
177,406,11,790482
880,210,8,1478400
317,778,1,246626
945,431,7,2851065
752,568,6,2562816
101,844,10,852440
693,833,7,4040883
656,943,8,4948864
279,557,10,1554030
583,822,3,1437678
276,493,9,1224612
862,262,11,2484284
157,108,9,152604
781,861,4,2689764
238,205,3,146370
250,759,8,1518000
803,764,2,1226984
510,108,4,220320
556,124,4,275776
543,723,4,1570356
348,634,6,1323792
435,430,1,187050
771,380,6,1757880
548,407,11,2453396
507,789,6,2400138
142,912,1,129504
673,153,1,102969
897,589,11,5811663
665,958,4,2548280
269,755,8,1624760
505,938,5,2368450
508,914,8,3714496
959,889,6,5115306
796,331,4,1053904
677,861,10,5828970
946,472,4,1786048
965,826,4,3188360
878,730,6,3845640
599,509,6,1829346
309,971,7,2100273
304,825,10,2508000
655,330,5,1080750
293,546,7,1119846
959,667,8,5117224
638,915,1,583770
743,820,4,2437040
489,908,6,2664072
961,368,1,353648
666,112,11,820512
698,560,11,4299680
603,751,9,4075677
900,376,2,676800
944,240,11,2492160
297,159,2,94446
604,610,4,1473760
846,401,11,3731706
307,314,4,385592
320,129,10,412800
959,368,7,2470384
827,344,8,2275904
332,247,4,328016
463,603,8,2233512
525,753,5,1976625
162,857,2,277668
825,917,11,8321775
918,304,11,3069792
224,805,3,540960
869,677,11,6471443
639,647,11,4547763
405,854,5,1729350
661,345,8,1824360
854,487,8,3327184
737,114,9,756162
531,289,9,1381131
966,591,1,570906
245,500,1,122500
489,725,7,2481675
613,200,10,1226000
318,506,5,804540
779,725,5,2823875
478,147,4,281064
423,582,10,2461860
583,432,3,755568
993,106,1,105258
289,229,8,529448
346,693,11,2637558
582,244,5,710040
442,348,8,1230528
203,985,4,799820
342,249,9,766422
782,670,5,2619700
226,864,10,1952640
431,447,4,770628
175,115,4,80500
101,413,10,417130
587,126,6,443772
465,164,10,762600
585,426,6,1495260
625,251,10,1568750
462,174,9,723492
199,777,7,1082361
786,619,1,486534
114,294,5,167580
753,265,7,1396815
317,293,4,371524
988,628,7,4343248
790,845,6,4005300
272,110,4,119680
856,875,6,4494000
409,739,4,1209004
208,247,10,513760
682,356,1,242792
633,787,7,3487197
297,384,4,456192
686,696,3,1432368
566,410,3,696180
397,169,4,268372
290,485,1,140650
140,893,7,875140
200,416,1,83200
158,483,9,686826
126,137,9,155358
207,466,4,385848
883,412,10,3637960
792,135,2,213840
650,999,6,3896100
201,551,10,1107510
248,100,3,74400
126,116,1,14616
847,250,5,1058750
115,718,6,495420
161,813,10,1308930
833,904,10,7530320
505,327,1,165135
110,523,7,402710
325,831,7,1890525
765,958,10,7328700
553,751,2,830606
484,847,3,1229844
618,332,10,2051760
251,178,4,178712
964,521,9,4520196
694,165,3,343530
880,687,5,3022800
529,871,10,4607590
213,960,2,408960
294,994,11,3214596
725,539,8,3126200
217,334,10,724780
872,158,10,1377760
246,183,4,180072
173,497,6,515886
335,433,3,435165
726,451,7,2291982
665,780,6,3112200
474,162,2,153576
962,930,11,9841260
959,551,2,1056818
762,558,1,425196
821,399,2,655158
963,663,4,2553876
692,743,5,2570780
881,405,5,1784025
352,852,7,2099328
769,174,9,1204254
691,900,9,5597100
975,233,6,1363050
372,126,8,374976
634,932,2,1181776
489,889,9,3912489
679,575,11,4294675
432,458,1,197856
354,636,2,450288
837,626,3,1571886
855,162,10,1385100
851,974,10,8288740
520,245,2,254800
779,588,2,916104
224,951,1,213024
902,167,7,1054438
506,701,1,354706
167,568,3,284568
182,758,4,551824
121,822,1,99462
639,428,2,546984
804,122,9,882792
736,898,4,2643712
549,556,4,1220976
347,868,6,1807176
582,845,5,2458950
785,185,8,1161800
975,677,9,5940675
146,213,11,342078
668,656,3,1314624
655,833,5,2728075
601,223,8,1072184
275,635,10,1746250
608,676,2,822016
561,662,11,4085202
369,158,8,466416
424,792,1,335808
485,329,4,638260
176,537,5,472560
500,908,2,908000
467,291,2,271794
171,980,5,837900
880,855,2,1504800
290,245,4,284200
408,407,11,1826616
930,784,2,1458240
520,661,9,3093480
898,573,7,3601878
710,472,8,2680960
758,191,8,1158224
244,850,11,2281400
839,385,6,1938090
747,364,4,1087632
832,602,9,4507776
171,557,1,95247
277,521,1,144317
952,562,4,2140096
434,295,2,256060
438,479,10,2098020
326,590,4,769360
424,909,3,1156248
465,775,4,1441500
682,951,10,6485820
790,322,3,763140
788,399,11,3458532
650,542,3,1056900
253,201,2,101706
715,604,3,1295580
852,340,10,2896800
269,545,6,879630
511,899,5,2296945
873,894,5,3902310
901,333,7,2100231
783,257,11,2213541
707,613,2,866782
998,405,6,2425140
905,281,5,1271525
887,707,5,3135545
229,579,2,265182
572,878,7,3515512
695,792,10,5504400
697,656,6,2743392
947,104,6,590928
774,317,2,490716
820,663,10,5436600
941,576,4,2168064
614,284,6,1046256
694,171,10,1186740
105,168,10,176400
304,557,9,1523952
884,802,2,1417936
643,538,3,1037802
704,497,3,1049664
740,273,11,2222220
125,525,2,131250
481,209,5,502645
700,379,8,2122400
220,544,10,1196800
864,968,1,836352
826,477,5,1970010
280,294,8,658560
304,549,11,1835856
130,553,5,359450
287,412,3,354732
863,589,8,4066456
898,750,8,5388000
709,426,10,3020340
902,552,2,995808
932,849,3,2373804
354,574,11,2235156
151,712,4,430048
221,148,7,228956
746,863,10,6437980
379,598,2,453284
500,367,11,2018500
846,515,7,3049830
864,695,6,3602880
819,358,3,879606
341,540,8,1473120
121,639,7,541233
174,303,5,263610
776,862,6,4013472
285,693,11,2172555
398,313,2,249148
589,173,9,917073
256,357,8,731136
438,595,11,2866710
999,501,3,1501497
920,377,8,2774720
493,730,2,719780
908,332,11,3316016
868,273,3,710892
770,706,6,3261720
206,358,11,811228
400,599,6,1437600
683,686,11,5153918
590,961,5,2834950
438,107,7,328062
323,727,5,1174105
977,172,1,168044
440,260,8,915200
712,875,10,6230000
956,978,11,10284648
670,270,10,1809000
199,852,10,1695480
462,443,4,818664
409,123,6,301842
213,163,10,347190
305,363,3,332145
971,673,3,1960449
264,193,8,407616
617,983,10,6065110
105,376,11,434280
911,214,2,389908
201,947,11,2093817
882,793,5,3497130
344,626,10,2153440
196,619,10,1213240
902,139,4,501512
447,142,2,126948
124,575,10,713000
550,947,6,3125100
397,196,3,233436
761,297,6,1356102
202,414,2,167256
985,952,11,10314920
376,498,10,1872480
445,952,7,2965480
749,816,11,6723024
967,659,9,5735277
940,558,2,1049040
724,343,6,1489992
487,586,1,285382
710,364,8,2067520
431,836,9,3242844
239,977,11,2568533
634,987,4,2503032
250,275,5,343750
461,964,7,3110828
550,747,6,2465100
768,148,1,113664
475,729,2,692550
377,635,3,718185
378,706,7,1868076
165,956,4,630960
231,856,1,197736
887,734,5,3255290
985,857,9,7597305
640,865,10,5536000
985,178,5,876650
659,133,7,613529
413,513,10,2118690
886,729,4,2583576
489,134,7,458682
926,736,6,4089216
302,989,8,2389424
994,350,1,347900
305,350,7,747250
988,964,10,9524320
361,650,8,1877200
543,912,2,990432
165,326,10,537900
990,607,8,4807440
434,404,10,1753360
743,968,11,7911464
684,718,9,4420008
601,891,7,3748437
303,326,11,1086558
652,618,11,4432296
322,565,5,909650
754,859,5,3238430
592,105,7,435120
985,990,9,8776350
598,443,5,1324570
993,237,7,1647387
313,254,9,715518
745,254,2,378460
108,443,9,430596
472,530,9,2251440
782,394,11,3389188
608,439,2,533824
510,890,10,4539000
361,843,4,1217292
662,157,4,415736
159,270,4,171720
