a,b,c,d,exp
354.37,199.69,738.47,714.46,671630.4978
257.73,357.58,610.42,146.15,439183.4793
372.8,789.27,374.34,649.53,279759.8056
843.83,779.14,374.45,330.68,852592.5514
355.81,268.71,269.58,161.84,199435.9725
182.5,259.36,422.39,585.14,212304.7021
330.29,438.53,809.04,531.24,764168.4457
523.36,649.02,374.86,401.3,414827.0092
638.46,223.93,497.81,142.11,655588.0777
726.99,841.31,690.45,155.75,1005391.413
749.96,372.11,352.53,140.11,686857.5125
488.35,586.21,933.74,407.05,1110763.16
335.19,963.35,165.92,130.31,140012.0925
767.33,571.19,348.05,833.98,710768.1114
887.41,519.34,262.42,484.98,856845.7445
776.26,871.14,962.11,439.3,1528674.54
405.6,952.9,734.57,136.95,704241.3949
200.67,356.62,619.88,987.62,425507.2833
336.91,717.63,120.03,293.3,128208.849
228.48,751.22,407,172.27,218024.3804
450.37,664.66,141.13,498.94,223249.7538
441.05,377.27,836.87,191.65,895068.1494
662.05,265.41,356.91,277,565971.9506
215.18,123.95,104.99,443.7,57769.0325
106.77,977.92,252.48,861.21,76007.1933
366.57,296.49,572.72,393.01,462774.7733
440.3,184.87,382.37,157.63,340228.5369
283.11,724.72,882.31,460.91,859083.1182
762.54,738.5,684.6,868.74,1051013.152
969.31,498.28,990.92,120.71,1921605.033
836.75,720.12,707.83,819.94,1201993.811
491.9,713.01,816.34,895.04,909271.6456
979.4,940.29,797.47,714.74,1595897.501
102.52,937,281.93,909.36,90904.2353
957.43,567.77,628.74,846.53,1312832.723
490.64,854.32,484.91,941.12,476806.4377
367.09,112.23,610.48,148.1,507588.9985
354.2,759.33,400.34,179.56,285909.3156
228.2,834.44,222.58,768.5,102385.5964
317.87,533.15,801.15,705.11,743587.7694
214.13,361.53,780.76,986.63,656424.4645
559.46,785.82,922.22,583.96,1164069.18
883.18,775.92,177.06,353.88,811711.036
894.66,309.31,606.08,790.82,1168540.302
635.88,209.43,578.73,980.24,740252.0273
456.87,562.72,692.68,804.99,689340.7693
571.19,895.9,869,495.01,1081914.026
849.46,837.45,740.16,834.37,1270253.487
484.46,906.23,953.54,385.15,1144325.173
970.35,102.14,597.5,159,1298744.373
819.27,422.18,742.96,467.76,1223660.655
233.35,867.59,311.12,759.02,152006.8969
255.43,154.24,578.38,171.9,399939.8093
315.11,794.27,893.73,864.75,898912.375
955.84,775.59,116.56,225.26,927441.5992
604.87,897.04,961.52,501.9,1290890.327
551.23,806.71,726.94,567.1,832863.3765
696.95,307.92,723.27,621.95,1009480.745
347.71,359.32,315.12,603.17,220806.0285
142.07,409.26,940.35,629,905071.0074
231.53,396.61,602.11,712.16,416854.753
693.01,419.53,169.75,510.86,509588.7826
167.86,862.99,535.02,147.83,314571.21
734.99,135.33,953.48,260.73,1449595.141
244.12,568.07,780.27,104.73,668520.5773
251.19,670.63,198.67,342.97,102909.155
168.59,340.34,187.55,533.38,64130.9706
158.76,742.17,645.14,792.33,442202.6872
712.41,528.19,592.59,162.24,858853.1562
692.79,449.44,922.88,173.29,1331838.769
149.84,445.5,166.73,533.44,50784.3585
223.44,743.01,115.68,729.27,64036.566
516.63,433.13,182.46,608.71,300806.9185
912.37,180.19,910.43,418.25,1661720.052
671.54,468.47,316.57,369.73,551552.2665
750.9,862.72,557.72,555.69,875458.0984
209.91,471.85,681.53,573.66,509119.009
183.14,189.49,699.74,285.96,523462.2872
310.98,289.51,631.94,898.78,496955.504
865.8,958.58,683.13,318.83,1216595.067
340.15,687.51,350.94,616.33,239477.2361
252.75,346,259.15,642.81,131684.095
920.72,823.24,918.22,546.42,1691399.707
828.51,212.77,321.94,880.68,790954.8637
950.81,337.89,695.73,944.93,1389024.819
888.49,969.81,669.75,641.8,1238621.343
145.79,308.68,798.22,150.79,658560.6825
145.84,567.83,903.69,230,838154.9217
586.43,752.75,576.91,771.84,677497.133
175.3,601.33,704.21,493.73,527135.5441
921.7,802.55,529.01,189.63,1129572.1
480.53,296.8,767.95,464.7,821120.9834
286.66,175.08,261.41,851.65,151360.7937
308.58,844.96,624.28,274.94,485222.0748
656.23,643.01,270.47,832.15,504623.9838
731.03,378.37,812.94,214.86,1195491.165
876.66,497.43,315.6,289.43,868425.5456
179.88,528.58,618.13,740.48,415181.9913
184.91,145.23,232.88,863.59,89288.3925
794.33,109.47,278.65,758.92,709364.8914
595.68,318.84,746.5,537.58,912634.4924
364.29,319.6,585.87,913.93,476864.791
264.51,890.36,711.73,774.34,577299.473
706.7,820.91,161.86,704.28,526327.8296
676.26,676.71,165.65,467.19,485234.7001
475.57,556.8,350.89,441.64,349732.257
426.82,281.05,263.5,622.54,252230.1024
952.48,318.79,517.66,745.58,1175935.606
765,555.81,279.25,914.18,664119.7425
769.75,875.71,558.32,731.49,904967.7749
899.11,686.04,398.1,858.5,967740.9021
541.94,326.47,238.06,460.49,350832.0172
267.4,285.98,738.46,686.93,617512.8616
531.38,735.2,544.41,346.77,579093.7225
485.29,788.99,773.19,683.95,834013.1102
875.12,178.1,334.99,484.8,878538.1145
866.04,800.45,812.43,821.75,1410889.537
940.73,433.09,764.23,711.87,1469732.296
668.01,690.88,668.6,825.02,894088.3401
973.85,603.37,475.42,228.53,1174636.529
880.7,987.87,306.21,829.91,870226.9641
240.56,914.24,210.34,373.88,102485.9092
779.65,423.16,516.17,499.66,874785.2514
107.97,690.33,359.64,480.7,141479.1505
179.54,396.75,534.53,613.02,318569.9525
803.63,499.21,812.17,211.4,1305652.686
600.96,682.94,391.84,570.55,515262.0572
510.83,971.47,326.91,605.47,368422.907
828.29,797.08,153.58,911.02,710562.1605
101.91,775.75,654.73,856.9,439913.921
708.04,434.77,608.08,516.03,871597.958
879.27,590.14,236.17,720.08,829612.0818
255.58,651.08,524.06,378.84,340338.86
414.91,837.58,855.73,273.53,904697.671
836.65,321.27,583,232.48,1040104.703
759.83,399.41,416.61,478.93,751384.451
265.9,569.33,811.2,518.33,729266.58
677.86,108.2,881.43,876.96,1237289.985
568.89,161.27,759.8,464.33,901396.2021
730.17,585.83,103.33,716.37,544541.6878
285.19,104.02,174.91,905.57,112832.4142
865.88,852.95,558.97,225.96,1062421.595
475.08,655.57,323.17,719.7,330859.5553
815.94,511.7,965.98,524.85,1599400.294
169.45,206.36,357.98,291.38,157154.3629
740.03,597.84,989.8,716.5,1528064.941
222.68,979.6,697.77,970.39,537439.7453
431.42,384.33,534.28,264.34,471842.6748
695.42,335.45,223.9,596.27,534336.4564
241.42,282.77,225.75,955.7,110202.3789
579.27,478.36,856.1,864.84,1069325.783
249.53,544.62,609.84,390.86,434560.9065
234.62,133,890.88,812.5,849526.2188
611.63,577.44,833.96,571.12,1070151.659
